"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000000001,Gnai3,230.77698,188.66492,253.11318,207.75958,144.2137,225.99784,267.06659,222.61707,221.93753,196.41571,250.57172
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,2.55237,3.61877,7.28284,14.94563,16.98646,3.83994,2.60041,9.62634,39.32749,2.82787,2.29247
ENSMUSG00000000031,H19,1.30277,2.64072,122.98387,3.18739,2.39728,7.828,1.8677,1.96033,5.61821,0.92916,0.90834
ENSMUSG00000000037,Scml2,2.02063,2.2006,0.57255,12.99355,8.76721,2.19913,3.37623,15.07702,1.15989,3.47424,2.46549
ENSMUSG00000000049,Apoh,0.2127,0.0489,0.34353,0.13726,0.15411,0.12534,0.10057,0.19125,0.39871,0.0808,0.04325
ENSMUSG00000000056,Narf,15.39399,13.66818,124.81603,15.2964,22.32898,11.29192,9.10862,14.20044,42.48094,11.43267,10.90006
ENSMUSG00000000058,Cav2,35.30781,201.30615,124.70152,109.71316,93.80226,122.77537,40.58654,90.30272,116.75009,240.20728,78.3334
ENSMUSG00000000078,Klf6,3555.18853,2326.08486,228.90574,693.73672,634.47521,1559.95941,1952.29138,638.41438,245.57027,2679.60797,4781.53827
ENSMUSG00000000085,Scmh1,15.73963,44.08539,23.7723,36.51005,45.18879,39.27673,16.43575,35.44533,65.96869,54.0931,24.0926
ENSMUSG00000000088,Cox5a,35.52051,86.53255,52.83497,75.3077,73.51097,98.2203,60.84389,61.35995,96.2708,82.93736,47.40663
ENSMUSG00000000093,Tbx2,1.54206,0.95359,2.93146,40.55147,30.73659,0.67227,1.49416,24.52804,0.21748,1.25234,1.5139
ENSMUSG00000000094,Tbx4,0.37222,0.14671,0.45804,0.10675,0.20548,0.09116,0.14367,0.17531,0,0,0.17302
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0.58492,0.78244,4.5804,37.68435,44.52097,0.50136,1.27866,16.81422,1.77608,0.88876,1.16786
ENSMUSG00000000125,Wnt3,0,0.0489,0.11451,0,0,0.09116,0,0.04781,0,1.25234,0.04325
ENSMUSG00000000126,Wnt9a,2.02063,1.0025,12.89384,3.09588,7.56857,0.90016,1.30739,1.75314,24.57515,0.48478,1.0381
ENSMUSG00000000127,Fer,15.60669,21.54145,38.29219,27.1309,26.09614,18.55019,16.30645,25.27711,74.2329,21.6534,17.64772
ENSMUSG00000000131,Xpo6,100.41989,86.6548,86.15742,96.91787,90.17209,92.81932,91.83332,118.4486,110.47944,86.4116,80.84215
ENSMUSG00000000134,Tfe3,85.95645,58.41375,66.34717,83.34479,88.99057,86.23332,87.16407,99.1003,107.7972,65.80855,78.20364
ENSMUSG00000000142,Axin2,1.78134,3.66767,3.89334,26.94789,21.38719,1.68638,1.62346,14.79014,7.90174,4.44379,1.68691
ENSMUSG00000000148,Brat1,10.34242,14.45062,17.06201,6.58828,7.51719,11.51981,7.6432,4.30317,28.7435,13.93735,10.25125
ENSMUSG00000000149,Gna12,70.93468,102.89035,66.7823,100.82203,109.21337,106.84591,75.51251,80.93138,130.27005,89.11827,60.77219
ENSMUSG00000000154,Slc22a18,8.05592,18.85182,2.88566,0.32026,0.23973,17.2968,8.70635,0.31875,0.07249,20.48185,10.33776
ENSMUSG00000000157,Itgb2l,0.13294,0.0978,0.45804,0,0,0.18231,0.54594,0,0.57994,0.56557,0.5623
ENSMUSG00000000159,Igsf5,11.32615,6.16168,6.48127,0.30501,0.25685,6.88226,10.44475,0.17531,6.8506,6.74649,11.33261
ENSMUSG00000000167,Pih1d2,0.85079,1.66268,1.99248,1.28105,0.92467,1.42431,1.36486,0.66938,3.6609,1.57553,1.38414
ENSMUSG00000000168,Dlat,30.68164,49.41573,54.3465,51.62344,57.32931,60.10581,40.96008,47.54201,71.76814,49.44731,32.09463
ENSMUSG00000000171,Sdhd,46.36809,80.98214,73.83613,77.64105,76.61032,75.57949,47.87056,50.69766,84.2007,82.33139,54.63009
ENSMUSG00000000182,Fgf23,0.07976,0.02445,0.06871,0.30501,0.18836,0.01139,0.02873,0.28688,0.07249,0.0404,0
ENSMUSG00000000183,Fgf6,0.05317,0.0489,0,0.01525,0.01712,0.03418,0.0431,0,0.10874,0,0.08651
ENSMUSG00000000184,Ccnd2,1.72817,1.85829,64.95014,170.41074,230.20767,2.33587,5.78987,117.06203,391.31759,12.80621,3.0278
ENSMUSG00000000194,Gpr107,48.60142,65.87134,83.7069,55.80212,52.86009,62.73793,49.29289,48.67358,98.40934,67.30328,54.02453
ENSMUSG00000000197,Nalcn,0.07976,1.0514,0.50384,11.72775,13.25355,2.2561,0.58904,14.50326,0.25373,1.81792,0.25953
ENSMUSG00000000202,Btbd17,0.29246,0.44012,0.75577,0.30501,0.20548,0.72925,0.56031,0.47813,0.07249,0.40398,0.12976
ENSMUSG00000000204,Slfn4,0.05317,0.0978,0.0229,0.15251,0.01712,0.17092,0.37354,0.54188,0,0.32319,0.30278
ENSMUSG00000000214,Th,0,0,0,0.44227,0.27398,0.03418,0,0.255,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,10.6083,8.63125,5.06135,13.19181,11.96929,11.26913,5.41633,27.06213,0.28997,6.62529,12.71674
ENSMUSG00000000223,Drp2,0.85079,0.63573,1.76346,41.84778,62.68895,0.75203,1.19245,63.19278,3.55216,0.92916,0.77858
ENSMUSG00000000244,Tspan32,0.07976,0,0.11451,0.01525,0.03425,0.02279,0.01437,0.03188,0,0.0404,0
ENSMUSG00000000247,Lhx2,0,0.22006,0,0.07625,0.30822,0.27347,0,0.11156,0.25373,1.73712,0.04325
ENSMUSG00000000248,Clec2g,0.02659,0,0.50384,0.0915,0,0.02279,0.05747,0.04781,0,0.0404,0.08651
ENSMUSG00000000253,Gmpr,2.2865,5.03693,7.53477,1.72332,2.24317,8.81932,3.27566,1.57783,4.05961,7.71604,3.84963
ENSMUSG00000000263,Glra1,0.29246,0.14671,0.0229,0.0305,0.11986,0.13673,0.41664,0.04781,0.76118,0.0404,0.12976
ENSMUSG00000000266,Mid2,85.69058,51.66524,84.73749,49.67136,43.83603,60.36788,84.36253,57.55085,12.21508,54.77986,83.74018
ENSMUSG00000000275,Trim25,77.66124,121.76663,71.36271,99.9985,107.34691,131.00218,97.66629,117.46047,119.57732,103.50001,72.01828
ENSMUSG00000000276,Dgke,10.76782,14.84184,12.73353,18.9108,19.52073,16.45361,15.99038,20.20894,28.01857,14.38173,11.98142
ENSMUSG00000000278,Scpep1,55.7002,103.64834,92.27226,99.72399,85.90835,91.6229,52.81278,84.26235,156.65752,91.29977,60.16663
ENSMUSG00000000282,Mnt,36.69035,51.44518,41.842,55.84787,48.97307,36.79273,20.80329,38.04317,42.62593,37.28747,27.5962
ENSMUSG00000000290,Itgb2,0.71785,0.44012,2.63373,1.84533,1.47262,0.52415,0.90512,3.45847,2.93597,0.68677,0.73532
ENSMUSG00000000295,Hddc2,34.90901,18.82737,16.37495,16.62321,12.34601,21.19371,32.11006,13.02106,24.64764,15.75527,36.59307
ENSMUSG00000000296,Tpd52l1,0.37222,0.68463,0.45804,1.44881,1.36988,0.34183,1.06315,1.14751,1.84857,0.64637,0.82183
ENSMUSG00000000301,Pemt,2.84483,2.2495,1.87797,2.97388,2.84249,3.41834,3.20382,2.43846,3.76964,2.46429,2.81152
ENSMUSG00000000303,Cdh1,1168.74716,1261.40932,643.73011,430.8918,366.6302,1425.55028,1245.32422,562.5193,84.59941,1273.18747,1191.7404
ENSMUSG00000000305,Cdh4,0.45198,0.51347,0.18322,0.61003,1.40412,0.30765,0.0862,0.82876,0.03625,0.52518,0.25953
ENSMUSG00000000308,Ckmt1,51.57919,17.33585,58.67499,11.33123,12.32888,31.16387,38.37403,10.50291,1.5586,22.58255,53.46222
ENSMUSG00000000317,Bcl6b,0.05317,0.36677,3.13758,1.75382,1.387,0.64948,0.47411,2.21533,7.82925,0.80796,0.64881
ENSMUSG00000000318,Clec10a,0.13294,0.31786,0.25192,0.79303,0.49658,0.51275,0.45974,0.60563,0,1.00995,1.68691
ENSMUSG00000000320,Alox12,1.0369,11.78544,7.76379,27.25291,12.50012,3.41834,1.59473,21.26082,2.79098,5.33255,1.08136
ENSMUSG00000000325,Arvcf,21.96104,21.51699,28.03208,24.98056,22.20912,16.48779,13.96464,14.35982,18.63072,19.3911,22.92474
ENSMUSG00000000326,Comt,22.89159,33.4736,25.69607,35.96103,44.28124,34.76452,22.57042,30.28153,35.08665,34.74239,24.00609
ENSMUSG00000000339,Rtca,10.92734,18.19164,23.13104,23.5165,21.26733,15.83831,11.7234,20.91019,45.38066,16.15925,12.19769
ENSMUSG00000000340,Dbt,14.01146,31.24854,33.13923,22.02194,20.90773,26.65166,13.21756,25.43649,33.34681,40.92331,18.94535
ENSMUSG00000000346,Dazap2,247.60669,290.87064,261.3579,151.34743,174.71056,292.73523,232.78713,145.70198,174.81704,306.8642,259.52535
ENSMUSG00000000355,Mcts1,16.4309,24.08436,26.77247,21.1679,19.38375,22.57244,23.20257,20.94207,27.94608,28.48068,25.43348
ENSMUSG00000000359,Rem1,0.05317,0.0489,1.74055,0.15251,0.20548,0.06837,0.0431,0.23906,0.07249,0.24239,0.04325
ENSMUSG00000000365,Rnf17,0.02659,0.07335,0.11451,0.01525,0.01712,0.09116,0.15804,0.06375,0,0.24239,0.08651
ENSMUSG00000000374,Trappc10,75.32157,86.19023,88.14989,97.60415,105.53182,99.35975,93.52862,104.86973,97.10447,87.74474,76.2572
ENSMUSG00000000378,Ccm2,23.50309,28.80343,36.11649,28.71697,30.30851,29.81932,27.48391,30.3931,43.20587,23.7945,21.23782
ENSMUSG00000000381,Wap,3.48292,0.61128,0.16031,0.10675,0.03425,1.68638,9.7695,0.1275,0,0.32319,3.80637
ENSMUSG00000000384,Tbrg4,51.87165,41.66472,30.98644,66.43182,56.72999,54.72762,60.47035,63.76653,76.80641,49.28572,52.81341
ENSMUSG00000000385,Tmprss2,159.07128,997.87505,65.15626,7.62532,10.2227,633.55511,185.24701,5.97662,2.06605,1241.75772,325.14201
ENSMUSG00000000386,Mx1,1.56865,1.1492,4.5575,0.74728,0.78768,0.80901,1.88207,0.57376,8.19172,0.60597,0.95159
ENSMUSG00000000392,Fap,1.72817,2.07835,14.6802,1.00654,1.93495,0.72925,4.38191,1.72127,1.37737,1.25234,2.81152
ENSMUSG00000000394,Gcg,0,0,0.13741,0.01525,0,0.01139,0.02873,0.04781,0,0,0
ENSMUSG00000000399,Ndufa9,18.87692,19.14523,22.30657,28.73222,31.04482,35.60771,21.42107,24.73523,50.7089,33.53045,28.50453
ENSMUSG00000000402,Egfl6,0.79762,0.39122,1.53444,43.5711,37.38049,0.72925,3.03142,37.45347,0.14499,0.44438,1.47064
ENSMUSG00000000409,Lck,0.45198,0.75799,0.70996,13.29856,8.08227,1.0255,0.60341,9.37134,1.15989,1.65632,0.77858
ENSMUSG00000000411,Tssk3,0.18611,0.07335,0.0458,0.15251,0.23973,0.12534,0.15804,0.14344,0.10874,0.16159,0.12976
ENSMUSG00000000416,Cttnbp2,0.74444,0.39122,3.20628,26.88689,33.93868,0.33044,1.32176,31.66811,4.82079,1.17155,0.69207
ENSMUSG00000000420,Galnt1,76.4914,96.4108,164.89458,85.83065,78.1343,103.26805,93.16945,66.2528,93.18984,80.87706,70.80717
ENSMUSG00000000435,Myf5,0.02659,0,0.61835,0,0,0,0,0,0,0,0.04325
ENSMUSG00000000439,Mkrn2,29.67133,31.34635,40.55949,25.88035,26.64409,29.24959,27.16784,20.62332,48.53411,39.91335,33.91131
ENSMUSG00000000440,Pparg,2.39285,0.34232,1.05349,0.18301,0.23973,1.76614,2.81592,0.41438,0.94241,1.00995,0.99485
ENSMUSG00000000441,Raf1,92.17786,98.80701,98.66192,129.76776,150.18978,107.92838,99.49089,118.01829,124.4706,113.43795,101.25814
ENSMUSG00000000486,Sept1,1.59523,1.51597,0.91608,1.90633,1.69522,1.91427,1.56599,2.05596,2.13855,1.49473,1.0381
ENSMUSG00000000489,Pdgfb,96.35205,66.87384,60.59876,148.3278,131.64509,97.73034,41.89392,117.0939,5.03827,35.18677,47.27687
ENSMUSG00000000530,Acvrl1,44.10818,18.28944,16.37495,12.73429,19.69197,23.99675,33.90592,15.73046,0.07249,16.40164,39.01531
ENSMUSG00000000531,Grasp,8.98648,3.83883,14.24506,24.40104,27.36327,6.30114,7.988,15.31608,11.23643,3.87822,7.87227
ENSMUSG00000000532,Acvr1b,31.02727,55.08839,86.34063,72.25757,54.96628,45.93109,29.62458,67.16125,23.74148,66.81851,39.9669
ENSMUSG00000000538,Tom1l2,68.01008,65.01555,95.84497,62.63441,84.52135,74.93001,76.8199,68.8347,92.28368,77.07963,73.01313
ENSMUSG00000000544,Gpa33,0.02659,0.17116,0.32063,0.70153,0.46233,0.11394,0.0862,0.35063,0.18123,0.12119,0.21627
ENSMUSG00000000552,Zfp385a,3.34999,29.87928,13.64961,41.26825,37.70584,18.34509,5.01405,24.03397,17.90579,30.62178,8.56434
ENSMUSG00000000555,Itga5,15.1813,40.09985,234.99767,147.91603,132.43277,47.10472,29.56711,344.76321,207.14895,45.48829,22.66521
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,Wdr77,54.79624,40.51552,54.85035,85.9984,81.81585,59.38796,66.57629,93.26712,150.82183,44.03396,52.12134
ENSMUSG00000000562,Adora3,1.06349,0.46457,0.59545,0.27451,0.20548,0.22789,0.73271,0.62157,0.86992,0.64637,0.86508
ENSMUSG00000000563,Atp5f1,119.16387,175.70582,198.21702,172.60683,151.85076,181.8215,134.15825,140.47443,238.93716,179.77168,139.40837
ENSMUSG00000000567,Sox9,349.24959,510.05056,217.77535,147.70252,149.89868,425.8226,319.75007,183.61765,135.16333,502.31035,410.48259
ENSMUSG00000000568,Hnrnpd,96.93697,75.26058,99.34898,197.7094,176.02907,89.3554,101.04252,168.89126,259.70642,90.33022,102.3395
ENSMUSG00000000579,Dynlt1c,7.2849,19.19414,13.30608,2.07409,1.6781,16.62453,6.52258,2.80503,12.79503,25.9356,8.39132
ENSMUSG00000000581,C1d,13.98487,23.8154,47.38429,28.1527,17.24331,15.656,13.60547,17.32422,43.02464,22.17857,14.3604
ENSMUSG00000000594,Gm2a,215.25005,81.76458,104.82257,45.61469,54.72655,152.9821,291.04497,46.96825,26.74994,64.91979,158.13745
ENSMUSG00000000600,Krit1,15.63328,19.43865,32.61248,28.35095,25.37695,20.73793,23.71978,30.56841,47.01176,24.07729,23.14101
ENSMUSG00000000605,Clcn4,66.78707,69.12334,79.85936,82.09424,93.11732,81.28812,79.73638,91.92836,73.50797,72.07026,70.15835
ENSMUSG00000000606,Vmn2r88,0.02659,0,0.0458,0,0,0.02279,0.01437,0,0,0.0404,0
ENSMUSG00000000617,Grm6,0.05317,0.02445,0.13741,0.01525,0.08562,0.07976,0.05747,0.04781,0.14499,0.0808,0.17302
ENSMUSG00000000627,Sema4f,0.13294,2.34731,1.39702,0.24401,0.13699,0.96853,1.16372,0.47813,4.42208,1.09075,1.68691
ENSMUSG00000000628,Hk2,84.28146,82.08244,127.51847,86.31867,60.71976,92.2496,103.21192,106.33599,49.83899,54.65867,51.25626
ENSMUSG00000000631,Myo18a,270.07288,336.47199,351.86671,252.85574,232.45084,280.41782,204.12513,195.93745,189.64187,270.26349,242.56969
ENSMUSG00000000632,Sez6,0.15952,0.19561,1.30542,0.22876,0.08562,0.12534,0.2155,0.17531,0.03625,0.52518,0.08651
ENSMUSG00000000673,Haao,0.05317,0.0489,0.0229,0.15251,0.2226,0.02279,0.01437,0.17531,0,0.36358,0.08651
ENSMUSG00000000682,Cd52,0.10635,0,0.18322,0.061,0.06849,0.15952,0.0431,0.14344,0,0.0404,0.17302
ENSMUSG00000000686,Abhd15,0.66468,2.56737,0.43514,0.62528,0.95891,1.18502,1.53726,0.90845,0.83367,1.25234,0.86508
ENSMUSG00000000690,Hoxb6,0.10635,0.0489,0.82447,0.0915,0.03425,0.09116,0.0862,0.07969,8.62668,0.80796,0.25953
ENSMUSG00000000693,Loxl3,2.18015,1.63823,55.88094,59.49278,52.96283,1.61801,2.54294,63.39997,167.96644,2.54508,2.33573
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,2224.8709,242.16399,5.26747,12.38353,19.12689,545.8747,2009.67284,12.12855,3.47967,155.81559,1634.70691
ENSMUSG00000000708,Kat2b,48.68118,52.54548,63.27829,30.45554,39.64079,52.76777,52.35304,32.32155,47.5917,67.62647,59.21503
ENSMUSG00000000711,Rab5b,60.80495,122.06004,163.31434,51.30318,74.88085,98.69887,57.05102,45.08761,111.16812,120.34603,69.6393
ENSMUSG00000000724,Cryba1,0.61151,0.19561,0.13741,0.15251,0.05137,0.26207,0.51721,0.04781,0.21748,0.36358,0.43254
ENSMUSG00000000730,Dnmt3l,0.07976,0,0.73286,0.13726,0.10274,0.01139,0.0431,0.15938,0.14499,0.12119,0
ENSMUSG00000000731,Aire,0.95714,0.34232,7.07673,0.18301,0.32535,0.43299,0.63214,0.22313,0.18123,0.48478,1.0381
ENSMUSG00000000732,Icosl,1.80793,2.22505,2.77114,11.08722,14.43507,3.07651,2.55731,13.65856,1.63109,2.50468,1.68691
ENSMUSG00000000738,Spg7,33.92528,54.91724,48.09425,41.11575,36.78117,46.535,31.26241,38.60098,69.66584,50.86125,36.80935
ENSMUSG00000000739,Sult5a1,1.70158,4.10779,1.53444,4.6057,6.02745,4.01085,2.47111,8.57445,1.23238,4.96897,2.68176
ENSMUSG00000000740,Rpl13,708.62891,624.97087,399.52582,623.11097,542.38529,556.10693,532.38041,515.12073,450.2907,486.35309,519.74276
ENSMUSG00000000743,Chmp1a,86.24891,153.06407,147.64935,66.58433,76.2336,134.07868,78.21349,50.82516,100.54789,149.19029,81.96676
ENSMUSG00000000751,Rpa1,25.81618,55.50406,57.11765,95.2708,88.63098,43.05969,24.15078,54.84145,189.42439,49.48771,30.92677
ENSMUSG00000000753,Serpinf1,6.46069,8.97356,164.48234,110.49094,86.54192,3.36137,23.99275,62.50746,83.1858,3.55504,14.74969
ENSMUSG00000000759,Tubgcp3,69.89777,68.26755,57.52989,54.38381,56.67862,69.66577,66.59065,55.52677,92.97236,87.78514,75.17584
ENSMUSG00000000766,Oprm1,0.02659,0.02445,0,0.01525,0.03425,0.06837,0.05747,0.01594,0,0.0808,0.04325
ENSMUSG00000000776,Polr3d,44.18794,39.19516,15.41306,47.41426,43.21959,43.56104,44.58054,40.30631,32.80311,39.02459,43.68677
ENSMUSG00000000782,Tcf7,3.90832,8.16668,29.10847,160.98584,132.8266,9.75366,6.01974,126.11461,21.78417,8.20082,5.53654
ENSMUSG00000000787,Ddx3x,1335.44897,1026.38507,1142.28428,2220.69258,1860.68549,1502.33759,1829.85653,2258.69946,867.48832,1569.34616,1658.28047
ENSMUSG00000000791,Il12rb1,0.23928,0.24451,0.45804,0,0,0.10255,0,0.03188,1.34112,0,0.43254
ENSMUSG00000000792,Slc5a5,42.64588,584.4798,6.13774,3.88892,4.79457,458.49053,63.21443,2.75721,1.26863,493.09958,80.36635
ENSMUSG00000000794,Kcnn3,0.50516,0.63573,3.16048,0.56427,0.8048,0.33044,1.32176,1.19532,0,0.44438,0.90834
ENSMUSG00000000804,Usp32,72.71602,67.21616,111.05192,54.93283,38.71612,69.62019,70.25422,67.70313,82.60585,76.95844,71.97503
ENSMUSG00000000805,Car4,0.10635,0.0489,0.11451,0.57952,0.20548,0.06837,0.0862,0.20719,0,0.12119,0.12976
ENSMUSG00000000811,Txnrd3,14.30392,9.29143,8.95469,24.17228,25.37695,13.77591,14.48185,26.21743,9.85906,8.24122,10.25125
ENSMUSG00000000817,Fasl,0.02659,0,0.0229,0.061,0.01712,0,0.0862,0.03188,0.03625,0.20199,0.17302
ENSMUSG00000000823,Zfp512b,48.30896,53.74358,44.24671,38.7519,35.22294,61.45036,66.56192,56.78584,74.84909,65.32378,56.40351
ENSMUSG00000000826,Dnajc5,139.9019,138.90687,221.87481,136.92032,129.47041,180.71624,153.35245,125.11054,157.9624,152.74533,126.64837
ENSMUSG00000000827,Tpd52l2,64.73986,108.61192,111.34964,54.74983,57.14095,88.3413,52.94208,48.65764,69.73833,113.84193,70.89367
ENSMUSG00000000838,Fmr1,84.30804,57.24009,83.22596,112.90055,89.93236,61.45036,100.89885,141.70163,129.18265,97.07671,116.78641
ENSMUSG00000000861,Bcl11a,9.70433,3.05639,7.03092,6.78654,7.41445,2.99674,4.81292,4.12785,1.05115,3.71663,8.43457
ENSMUSG00000000869,Il4,0.23928,0.46457,0.61835,0.36602,0.2911,0.27347,0.24424,0.47813,0.79742,0.36358,0.17302
ENSMUSG00000000876,Pxmp4,15.55352,13.30141,17.10781,11.91076,14.3152,12.27184,14.76919,11.9373,11.81637,14.46253,15.8743
ENSMUSG00000000881,Dlg3,83.5636,74.52704,75.69119,22.83022,26.74683,65.82583,47.19532,17.92985,49.91148,84.1897,90.53109
ENSMUSG00000000884,Gnb1l,6.08847,4.37675,2.33601,9.71466,9.88023,3.46392,3.72103,4.23941,8.66292,5.33255,4.71471
ENSMUSG00000000889,Dbh,0,0,0.0229,0.0305,0.34247,0.01139,0,0.01594,0,0.0404,0
ENSMUSG00000000901,Mmp11,0.58492,1.73603,9.71046,2.69936,6.69527,1.45849,0.89075,2.40658,16.09346,2.1007,0.90834
ENSMUSG00000000902,Smarcb1,26.26816,43.40076,36.43712,67.37736,67.86023,44.54097,26.7512,48.08389,88.4053,40.35773,27.46643
ENSMUSG00000000903,Vpreb3,0.07976,0.0489,0.06871,0,0.10274,0.06837,0.0431,0.01594,0,0,0.04325
ENSMUSG00000000915,Hip1r,221.89685,286.39608,200.36981,59.46228,61.90127,237.71136,239.94185,106.33599,39.61746,263.71899,215.88184
ENSMUSG00000000916,Nsun5,12.33647,13.83934,15.06953,16.05893,11.40422,8.96744,9.84134,16.52734,25.77129,9.97834,9.08339
ENSMUSG00000000934,Top1mt,7.81664,7.97107,8.35924,10.55345,9.46927,7.89637,6.99669,7.26757,18.19576,8.6856,7.30996
ENSMUSG00000000938,Hoxa10,0.05317,0.07335,1.32832,0.04575,0.05137,0,0.05747,0.01594,0.4712,0,0
ENSMUSG00000000942,Hoxa4,0,0,0.34353,0.0305,0.01712,0,0.01437,0.01594,3.62465,0.0404,0.12976
ENSMUSG00000000948,Snurf,2.84483,1.98054,10.97007,2.27235,0.63357,1.66359,2.83028,1.7372,1.70359,4.64578,3.80637
ENSMUSG00000000957,Mmp14,60.67201,285.32023,318.31524,225.93835,230.19054,263.45146,87.37958,203.20502,318.5708,271.79862,105.84309
ENSMUSG00000000958,Slc7a7,0,0,0.43514,0,0,0.95714,1.47979,0.49407,0,0,0.73532
ENSMUSG00000000959,Oxa1l,65.88311,49.66024,45.94146,52.44698,54.76079,53.91861,45.80173,38.69661,43.06088,52.96195,63.62696
ENSMUSG00000000976,Heatr6,23.71579,24.35333,28.90235,14.10685,18.11661,22.62941,21.42107,16.1289,59.19059,25.976,28.11525
ENSMUSG00000000982,Ccl3,0.02659,0,0.09161,0.15251,0.08562,0.07976,0.05747,0.1275,0,0.0404,0.17302
ENSMUSG00000000983,Wfdc18,218.65321,140.17833,295.04678,6.39002,6.71239,295.0597,268.96302,8.76571,30.48334,100.91453,267.13809
ENSMUSG00000001014,Icam4,0.05317,0.07335,0.13741,0.0915,0,0.18231,0.05747,0.03188,0,0.0808,0
ENSMUSG00000001016,Ilf2,23.71579,34.28048,29.06267,46.86524,53.21968,35.33424,26.34892,37.27816,46.93926,34.09602,28.89382
ENSMUSG00000001017,Chtop,149.55306,174.50771,139.45043,205.8685,151.57678,148.56105,122.73656,148.79388,160.64464,165.83432,138.7163
ENSMUSG00000001018,Snapin,18.37176,51.9831,44.70475,23.6385,31.74688,40.60988,17.87244,21.85052,32.80311,59.50645,30.27796
ENSMUSG00000001020,S100a4,0.61151,1.49152,99.69251,3.84316,3.20209,0.58112,0.60341,2.50221,688.10422,2.1411,1.38414
ENSMUSG00000001021,S100a3,1.11666,0.41567,0.84737,1.32681,0.77056,0.27347,0.63214,1.13157,2.42852,0.32319,1.12461
ENSMUSG00000001023,S100a5,0,0,0.0229,0,0,0,0,0,0.57994,0,0
ENSMUSG00000001025,S100a6,2.60555,11.98105,8.63406,21.65592,16.09604,6.11883,1.9539,11.50698,15.51352,6.34251,3.97939
ENSMUSG00000001027,Scn4a,0.15952,0.24451,1.03059,0.22876,0.34247,0.38741,0.84765,0.86063,0,0.76756,0.82183
ENSMUSG00000001029,Icam2,0.26587,0.24451,0.13741,1.35731,1.28426,1.10526,0.80455,1.6097,0.03625,1.45433,0.38929
ENSMUSG00000001034,Mapk7,17.60073,24.25552,30.5971,18.9108,16.83235,28.33804,17.39833,23.73116,46.72178,21.5322,17.43145
ENSMUSG00000001036,Epn2,30.41577,119.51712,287.90135,30.63855,37.87707,90.6088,35.48628,28.59214,87.64412,137.23245,50.30466
ENSMUSG00000001039,B9d1,3.5361,12.86129,12.91674,14.65587,13.66451,11.14379,5.61746,9.69009,16.12971,11.23068,5.49329
ENSMUSG00000001052,Sec24b,78.9906,67.16725,81.64572,76.35999,75.48017,77.50516,92.7528,103.89753,102.39646,73.72659,81.9235
ENSMUSG00000001053,N4bp3,40.75819,27.77648,18.71095,51.62344,46.62716,30.84482,28.41776,46.95231,12.68629,20.60305,27.03389
ENSMUSG00000001054,Rmnd5b,26.93284,25.08686,23.88681,20.34436,18.71593,28.09875,29.95502,22.21708,28.12731,29.65223,30.66725
ENSMUSG00000001056,Nhp2,35.09512,66.80049,33.78049,57.52544,41.16477,54.96691,33.18757,33.26187,91.84872,58.57729,32.39741
ENSMUSG00000001062,Vps9d1,22.75865,17.87378,16.21463,19.36832,20.90773,18.47043,22.62789,17.97767,21.20422,16.03806,23.14101
ENSMUSG00000001065,Zfp276,31.23997,23.25302,39.48309,22.22019,22.7057,27.88226,37.65568,24.83086,34.14424,18.34075,28.28826
ENSMUSG00000001076,C1ql4,0.02659,0,0,0.04575,0.03425,0,0.02873,0.03188,0.03625,0,0
ENSMUSG00000001082,Mfsd10,33.97845,42.44716,36.27681,48.55806,45.30865,38.5019,32.6991,37.21441,69.5571,39.26698,32.2244
ENSMUSG00000001089,Luzp1,127.72496,128.12392,239.94451,250.29363,259.42027,155.48889,168.82562,433.91841,190.25806,183.89229,153.11996
ENSMUSG00000001095,Slc13a2,22.33326,3.3498,0.96189,0.12201,0.2226,10.9045,27.06727,0.19125,0.18123,3.15105,26.77437
ENSMUSG00000001098,Kctd10,81.03782,93.32996,105.78445,116.89622,111.19969,112.17852,95.61182,124.52085,272.97266,87.17916,86.20567
ENSMUSG00000001100,Poldip2,41.95462,40.63778,41.8649,42.3663,50.03472,47.50353,39.78199,36.64065,69.5571,47.79099,49.1368
ENSMUSG00000001103,Sebox,0,0,0.0229,0,0,0.01139,0.01437,0,0.03625,0,0
ENSMUSG00000001105,Ift20,19.96699,28.97459,36.34551,41.89353,35.51404,26.58329,22.48422,31.90717,35.15914,26.78396,20.84854
ENSMUSG00000001119,Col6a1,10.98052,24.8179,296.10028,78.08332,129.43616,10.42594,42.81341,107.866,799.12736,13.08899,27.85572
ENSMUSG00000001120,Pcbp3,2.02063,5.99053,14.42828,5.52073,8.86995,4.46663,1.66656,5.4188,16.56467,5.45375,2.72502
